Station;Abbr.;Latitude;Longitude;Station Height;Stationstyp;Type de station;Tipo di stazione;Standorttyp;Type de site;Tipo di sito
windmax;Windgeschwindigkeit, Böenspitze;Vitesse du vent, rafale ;Velocità del vento, raffiche;m/s;Sekundenböe, Stundenmaximum;Rafale en secondes, maximum horaire;Raffica al secondo, massimo orario;;;
rad.global;Globalstrahlung horizontal;Rayonnement global horizontal;Radiazione solare globale orizzontale;W/m2;Stundenmittel;Moyenne horaire;Media oraria;;;
rad.direct;Direktstrahlung normal (Beam);Rayonnement direct normal (faisceau);Radiazione solare diretta normale (fascio);W/m2;Stundenmittel;Moyenne horaire;Media oraria;;;
rad.diffus;Diffuse Strahlung horizontal;Rayonnement diffus horizontal;Radiazione solare diffusa orizzontale;W/m2;Stundenmittel;Moyenne horaire;Media oraria;;;
rad.vert.N;Globalstrahlung vertikal Nord;Rayonnement global vertical, nord;Radiazione solare globale verticale, nord;W/m2;Stundenmittel;Moyenne horaire;Media oraria;;;
rad.vert.E;Globalstrahlung vertikal Ost;Rayonnement global vertical, est;Radiazione solare globale verticale, est;W/m2;Stundenmittel;Moyenne horaire;Media oraria;;;
rad.vert.S;Globalstrahlung vertikal Süd;Rayonnement global vertical, sud;Radiazione solare globale verticale, sud;W/m2;Stundenmittel;Moyenne horaire;Media oraria;;;
rad.vert.W;Globalstrahlung vertikal West;Rayonnement global vertical, ouest;Radiazione solare globale verticale, ovest;W/m2;Stundenmittel;Moyenne horaire;Media oraria;;;
ir.horiz;Langwellige Einstrahlung horizontal;Irradiation par onde longue horizontale;Irraggiamento a onde lunghe orizzontale;W/m2;Stundenmittel;Moyenne horaire;Media oraria;;;
cloudcov;Bewölkung;Nébulosité;Nuvolosità;%;Stundenmittel;Moyenne horaire;Media oraria;;;
albedo;Bodenalbedo;Albédo du sol;Albedo del suolo;%;Stundenmittel;Moyenne horaire;Media oraria;;;
emissivity;Bodenemissivität;Émissivité du sol;Emissività del suolo;%;Stundenmittel;Moyenne horaire;Media oraria;;;
;;;;;;;;;;
license;"CC BY 4: Freie Nutzung. Quellenangabe ist Pflicht. ""Quelle: MeteoSchweiz (Hrsg.) 2025: Bereitstellung der Klimadaten für Bauphysik, Energie- und Gebäudetechnik (SIA4028), Bundesamt für Meteorologie und Klimatologie MeteoSchweiz, Bundesamt für Umwelt (BAFU), Bundesamt für Energie (BFE), Schweizerischer Ingenieur- und Architektenverein (SIA), Zürich.""";;;;;;;;;
license;"CC BY 4: Utilisation libre. Obligation d’indiquer la source. ""Source: MeteoSchweiz (Hrsg.) 2025: Bereitstellung der Klimadaten für Bauphysik, Energie- und Gebäudetechnik (SIA4028), Bundesamt für Meteorologie und Klimatologie MeteoSchweiz, Bundesamt für Umwelt (BAFU), Bundesamt für Energie (BFE), Schweizerischer Ingenieur- und Architektenverein (SIA), Zürich""";;;;;;;;;
license;"CC BY 4: Libero utilizzo. Indicazione della fonte obbligatoria. ""Fonte: MeteoSchweiz (Hrsg.) 2025: Bereitstellung der Klimadaten für Bauphysik, Energie- und Gebäudetechnik (SIA4028), Bundesamt für Meteorologie und Klimatologie MeteoSchweiz, Bundesamt für Umwelt (BAFU), Bundesamt für Energie (BFE), Schweizerischer Ingenieur- und Architektenverein (SIA), Zürich""";;;;;;;;;
license;"CC BY 4: Open use. Must provide the source. ""Source: MeteoSchweiz (Hrsg.) 2025: Bereitstellung der Klimadaten für Bauphysik, Energie- und Gebäudetechnik (SIA4028), Bundesamt für Meteorologie und Klimatologie MeteoSchweiz, Bundesamt für Umwelt (BAFU), Bundesamt für Energie (BFE), Schweizerischer Ingenieur- und Architektenverein (SIA), Zürich""";;;;;;;;;
